,instantTicketingRequired,nonHomogeneous,oneWay,lastTicketingDate,numberOfBookableSeats,total,base,fareOption,travelerType,cabin,fareBasis,brandedFare,class,carrierCode,number,numberOfStops,departureIataCode,departureAt,aircraftCode,bagageQuantity,arrivalIataCode,arrivalAt
0,False,False,False,2023-04-12,9,66.59,34.00,STANDARD,ADULT,ECONOMY,ADNNEOB2,NOBAG,A,IB,3739,0,CDG,2023-11-11T09:50:00,32A,0.0,MAD,2023-11-11T12:05:00
1,False,False,False,2023-04-12,9,79.59,47.00,STANDARD,ADULT,ECONOMY,ODNNEOB2,NOBAG,O,IB,3743,0,CDG,2023-11-11T07:00:00,32A,0.0,MAD,2023-11-11T09:15:00
2,False,False,False,2023-10-02,9,89.87,38.00,STANDARD,ADULT,ECONOMY,GS5XBALG,LIGHT,G,AF,1300,0,CDG,2023-11-11T09:25:00,319,0.0,MAD,2023-11-11T11:30:00
3,False,False,False,2023-10-02,9,89.87,38.00,STANDARD,ADULT,ECONOMY,GS5XBALG,LIGHT,G,AF,1000,0,CDG,2023-11-11T07:00:00,223,0.0,MAD,2023-11-11T09:10:00
4,False,False,False,2023-10-02,9,89.87,38.00,STANDARD,ADULT,ECONOMY,GS5XBALG,LIGHT,G,AF,1100,0,CDG,2023-11-11T17:05:00,223,0.0,MAD,2023-11-11T19:15:00
5,False,False,False,2023-10-02,9,89.87,38.00,STANDARD,ADULT,ECONOMY,GS5XBALG,LIGHT,G,AF,1400,0,CDG,2023-11-11T20:55:00,223,0.0,MAD,2023-11-11T23:05:00
6,False,False,False,2023-10-07,9,96.87,45.00,STANDARD,ADULT,ECONOMY,XS5GBALG,LIGHT,X,AF,1800,0,CDG,2023-11-11T15:20:00,223,0.0,MAD,2023-11-11T17:25:00
7,False,False,False,2023-10-07,9,96.87,45.00,STANDARD,ADULT,ECONOMY,XS5GBALG,LIGHT,X,AF,1600,0,CDG,2023-11-11T13:15:00,319,0.0,MAD,2023-11-11T15:25:00
8,False,False,False,2023-11-01,9,115.22,35.00,STANDARD,ADULT,ECONOMY,OOLGEU1,ECOLIGHT,O,AZ,325,0,CDG,2023-11-11T18:15:00,32S,0.0,FCO,2023-11-11T20:20:00
9,False,False,False,2023-11-01,9,115.22,35.00,STANDARD,ADULT,ECONOMY,OOLGEU1,ECOLIGHT,O,AZ,333,0,CDG,2023-11-11T13:20:00,32S,0.0,FCO,2023-11-11T15:25:00
10,False,False,False,2023-11-01,9,115.22,35.00,STANDARD,ADULT,ECONOMY,OOLGEU1,ECOLIGHT,O,AZ,317,0,CDG,2023-11-11T06:10:00,32S,0.0,FCO,2023-11-11T08:10:00
11,False,False,False,2023-11-01,9,115.22,35.00,STANDARD,ADULT,ECONOMY,OOLGEU1,ECOLIGHT,O,AZ,325,0,CDG,2023-11-11T18:15:00,32S,0.0,FCO,2023-11-11T20:20:00
12,False,False,False,2023-11-01,9,115.22,35.00,STANDARD,ADULT,ECONOMY,OOLGEU1,ECOLIGHT,O,AZ,317,0,CDG,2023-11-11T06:10:00,32S,0.0,FCO,2023-11-11T08:10:00
13,False,False,False,2023-11-01,9,115.22,35.00,STANDARD,ADULT,ECONOMY,OOLGEU1,ECOLIGHT,O,AZ,333,0,CDG,2023-11-11T13:20:00,32S,0.0,FCO,2023-11-11T15:25:00
